terminal_id,tarih,toplama_tutar
T-00017,2025-11-26,283097
T-00017,2025-12-10,308046
T-00017,2025-12-24,283961
T-00018,2025-01-08,263911
T-00018,2025-01-22,243496
T-00018,2025-02-05,319245
T-00018,2025-02-19,286094
T-00018,2025-03-05,295620
T-00018,2025-03-19,253093
T-00018,2025-04-02,281247
T-00018,2025-04-16,287787
T-00018,2025-04-30,256116
T-00018,2025-05-14,326756
T-00018,2025-05-28,317575
T-00018,2025-06-11,252972
T-00018,2025-06-25,261931
T-00018,2025-07-09,284747
T-00018,2025-07-23,269940
T-00018,2025-08-06,282406
T-00018,2025-08-20,273848
T-00018,2025-09-03,242923
T-00018,2025-09-17,225448
T-00018,2025-10-01,288113
T-00018,2025-10-15,313192
T-00018,2025-10-29,276673
T-00018,2025-11-12,316167
T-00018,2025-11-26,299789
T-00018,2025-12-10,265928
T-00018,2025-12-24,288251
T-00019,2025-01-08,131617
T-00019,2025-01-22,144059
T-00019,2025-02-05,140041
T-00019,2025-02-19,135196
T-00019,2025-03-05,156528
T-00019,2025-03-19,124679
T-00019,2025-04-02,133833
T-00019,2025-04-16,147097
T-00019,2025-04-30,154387
T-00019,2025-05-14,134389
T-00019,2025-05-28,135504
T-00019,2025-06-11,169557
T-00019,2025-06-25,154865
T-00019,2025-07-09,137643
T-00019,2025-07-23,150615
T-00019,2025-08-06,139266
T-00019,2025-08-20,153265
T-00019,2025-09-03,99736
T-00019,2025-09-17,155958
T-00019,2025-10-01,125610
T-00019,2025-10-15,137722
T-00019,2025-10-29,147359
T-00019,2025-11-12,174143
T-00019,2025-11-26,155151
T-00019,2025-12-10,149367
T-00019,2025-12-24,124305
T-00020,2025-01-08,237864
T-00020,2025-01-22,247093
T-00020,2025-02-05,249500
T-00020,2025-02-19,250257
T-00020,2025-03-05,262480
T-00020,2025-03-19,267875
T-00020,2025-04-02,253701
T-00020,2025-04-16,232276
T-00020,2025-04-30,272334
T-00020,2025-05-14,242406
T-00020,2025-05-28,239772
T-00020,2025-06-11,204925
T-00020,2025-06-25,277572
T-00020,2025-07-09,215666
T-00020,2025-07-23,224103
T-00020,2025-08-06,207725
T-00020,2025-08-20,263575
T-00020,2025-09-03,293323
T-00020,2025-09-17,262903
T-00020,2025-10-01,179564
T-00020,2025-10-15,206133
T-00020,2025-10-29,263880
T-00020,2025-11-12,297807
T-00020,2025-11-26,252899
T-00020,2025-12-10,259830
T-00020,2025-12-24,257568
T-00021,2025-01-08,360131
T-00021,2025-01-22,301047
T-00021,2025-02-05,322405
T-00021,2025-02-19,395679
T-00021,2025-03-05,326535
T-00021,2025-03-19,354259
T-00021,2025-04-02,366218
T-00021,2025-04-16,373988
T-00021,2025-04-30,378362
T-00021,2025-05-14,370514
T-00021,2025-05-28,346838
T-00021,2025-06-11,364170
T-00021,2025-06-25,336959
T-00021,2025-07-09,425804
T-00021,2025-07-23,336364
T-00021,2025-08-06,407618
T-00021,2025-08-20,372510
T-00021,2025-09-03,319361
T-00021,2025-09-17,377396
T-00021,2025-10-01,363987
T-00021,2025-10-15,397330
T-00021,2025-10-29,312758
T-00021,2025-11-12,333274
T-00021,2025-11-26,342337
T-00021,2025-12-10,421413
T-00021,2025-12-24,341319
T-00022,2025-01-08,116370
T-00022,2025-01-22,135700
T-00022,2025-02-05,143652
T-00022,2025-02-19,148878
T-00022,2025-03-05,154778
T-00022,2025-03-19,131860
T-00022,2025-04-02,139743
T-00022,2025-04-16,113854
T-00022,2025-04-30,120614
T-00022,2025-05-14,147070
T-00022,2025-05-28,128404
T-00022,2025-06-11,163354
T-00022,2025-06-25,135146
T-00022,2025-07-09,130578
T-00022,2025-07-23,122177
T-00022,2025-08-06,139335
T-00022,2025-08-20,104052
T-00022,2025-09-03,132519
T-00022,2025-09-17,131288
T-00022,2025-10-01,136145
T-00022,2025-10-15,123741
T-00022,2025-10-29,122578
T-00022,2025-11-12,132973
T-00022,2025-11-26,138894
T-00022,2025-12-10,143443
T-00022,2025-12-24,132737
T-00023,2025-01-08,219295
T-00023,2025-01-22,221970
T-00023,2025-02-05,238181
T-00023,2025-02-19,237204
T-00023,2025-03-05,227658
T-00023,2025-03-19,204952
T-00023,2025-04-02,198836
T-00023,2025-04-16,260825
T-00023,2025-04-30,221371
T-00023,2025-05-14,229562
T-00023,2025-05-28,212324
T-00023,2025-06-11,217419
T-00023,2025-06-25,230054
T-00023,2025-07-09,226268
T-00023,2025-07-23,253132
T-00023,2025-08-06,192611
T-00023,2025-08-20,247334
T-00023,2025-09-03,221115
T-00023,2025-09-17,185439
T-00023,2025-10-01,243372
T-00023,2025-10-15,213159
T-00023,2025-10-29,213843
T-00023,2025-11-12,192747
T-00023,2025-11-26,225853
T-00023,2025-12-10,228904
T-00023,2025-12-24,253266
T-00024,2025-01-08,400902
T-00024,2025-01-22,366430
T-00024,2025-02-05,346849
T-00024,2025-02-19,393585
T-00024,2025-03-05,443804
T-00024,2025-03-19,429252
T-00024,2025-04-02,377650
T-00024,2025-04-16,454329
T-00024,2025-04-30,403286
T-00024,2025-05-14,374755
T-00024,2025-05-28,387314
T-00024,2025-06-11,362941
T-00024,2025-06-25,375592
T-00024,2025-07-09,449665
T-00024,2025-07-23,371576
T-00024,2025-08-06,389028
T-00024,2025-08-20,455393
T-00024,2025-09-03,489033
T-00024,2025-09-17,404291
T-00024,2025-10-01,422414
T-00024,2025-10-15,445114
T-00024,2025-10-29,359998
T-00024,2025-11-12,357651
T-00024,2025-11-26,414357
T-00024,2025-12-10,436591
T-00024,2025-12-24,413359
T-00025,2025-01-08,196391
T-00025,2025-01-22,199609
T-00025,2025-02-05,162923
T-00025,2025-02-19,175006
T-00025,2025-03-05,198176
T-00025,2025-03-19,192981
T-00025,2025-04-02,191706
T-00025,2025-04-16,197786
T-00025,2025-04-30,201302
T-00025,2025-05-14,199801
T-00025,2025-05-28,164281
T-00025,2025-06-11,171278
T-00025,2025-06-25,198218
T-00025,2025-07-09,164813
T-00025,2025-07-23,209600
T-00025,2025-08-06,184691
T-00025,2025-08-20,199335
T-00025,2025-09-03,195053
T-00025,2025-09-17,179010
T-00025,2025-10-01,180220
T-00025,2025-10-15,191406
T-00025,2025-10-29,160648
T-00025,2025-11-12,158639
T-00025,2025-11-26,176869
T-00025,2025-12-10,190654
T-00025,2025-12-24,224754
T-00026,2025-01-08,167345
T-00026,2025-01-22,163615
T-00026,2025-02-05,139379
T-00026,2025-02-19,149216
T-00026,2025-03-05,162371
T-00026,2025-03-19,153142
T-00026,2025-04-02,134469
T-00026,2025-04-16,140918
T-00026,2025-04-30,123465
T-00026,2025-05-14,149951
T-00026,2025-05-28,161375
T-00026,2025-06-11,179945
T-00026,2025-06-25,160636
T-00026,2025-07-09,137235
T-00026,2025-07-23,168327
T-00026,2025-08-06,175226
T-00026,2025-08-20,134804
T-00026,2025-09-03,124955
T-00026,2025-09-17,149559
T-00026,2025-10-01,127592
T-00026,2025-10-15,143713
T-00026,2025-10-29,108199
T-00026,2025-11-12,178702
T-00026,2025-11-26,177017
T-00026,2025-12-10,142658
T-00026,2025-12-24,136644
T-00027,2025-01-08,127708
T-00027,2025-01-22,118333
T-00027,2025-02-05,140785
T-00027,2025-02-19,125502
T-00027,2025-03-05,97727
T-00027,2025-03-19,125370
T-00027,2025-04-02,108843
T-00027,2025-04-16,112819
T-00027,2025-04-30,135016
T-00027,2025-05-14,144025
T-00027,2025-05-28,131587
T-00027,2025-06-11,129795
T-00027,2025-06-25,131276
T-00027,2025-07-09,130111
T-00027,2025-07-23,134631
T-00027,2025-08-06,115974
T-00027,2025-08-20,129268
T-00027,2025-09-03,146735
T-00027,2025-09-17,122772
T-00027,2025-10-01,149958
T-00027,2025-10-15,125235
T-00027,2025-10-29,127995
T-00027,2025-11-12,132853
T-00027,2025-11-26,143814
T-00027,2025-12-10,140858
T-00027,2025-12-24,142932
T-00028,2025-01-08,322574
T-00028,2025-01-22,335930
T-00028,2025-02-05,293282
T-00028,2025-02-19,353399
T-00028,2025-03-05,307467
T-00028,2025-03-19,333972
T-00028,2025-04-02,386483
T-00028,2025-04-16,321175
T-00028,2025-04-30,317848
T-00028,2025-05-14,286360
T-00028,2025-05-28,334122
T-00028,2025-06-11,351982
T-00028,2025-06-25,403369
T-00028,2025-07-09,338971
T-00028,2025-07-23,326628
T-00028,2025-08-06,331245
T-00028,2025-08-20,325797
T-00028,2025-09-03,362615
T-00028,2025-09-17,356921
T-00028,2025-10-01,316617
T-00028,2025-10-15,300925
T-00028,2025-10-29,361955
T-00028,2025-11-12,288382
T-00028,2025-11-26,347333
T-00028,2025-12-10,312744
T-00028,2025-12-24,308646
T-00029,2025-01-08,190956
T-00029,2025-01-22,184410
T-00029,2025-02-05,189410
T-00029,2025-02-19,157304
T-00029,2025-03-05,164002
T-00029,2025-03-19,169732
T-00029,2025-04-02,145016
T-00029,2025-04-16,156761
T-00029,2025-04-30,169057
T-00029,2025-05-14,174045
T-00029,2025-05-28,156592
T-00029,2025-06-11,142272
T-00029,2025-06-25,196275
T-00029,2025-07-09,147954
T-00029,2025-07-23,172848
T-00029,2025-08-06,170164
T-00029,2025-08-20,174834
T-00029,2025-09-03,182643
T-00029,2025-09-17,160433
T-00029,2025-10-01,195634
T-00029,2025-10-15,148378
T-00029,2025-10-29,182600
T-00029,2025-11-12,128681
T-00029,2025-11-26,155599
T-00029,2025-12-10,169857
T-00029,2025-12-24,167531
T-00030,2025-01-08,481289
T-00030,2025-01-22,485971
T-00030,2025-02-05,433263
T-00030,2025-02-19,541952
T-00030,2025-03-05,441808
T-00030,2025-03-19,494421
T-00030,2025-04-02,408915
T-00030,2025-04-16,453018
T-00030,2025-04-30,461006
T-00030,2025-05-14,468712
T-00030,2025-05-28,466479
T-00030,2025-06-11,488833
T-00030,2025-06-25,373993
T-00030,2025-07-09,451507
T-00030,2025-07-23,517996
T-00030,2025-08-06,461253
T-00030,2025-08-20,446535
T-00030,2025-09-03,449747
T-00030,2025-09-17,459796
T-00030,2025-10-01,466709
T-00030,2025-10-15,397369
T-00030,2025-10-29,438146
T-00030,2025-11-12,453995
T-00030,2025-11-26,461574
T-00030,2025-12-10,443644
T-00030,2025-12-24,519165
T-00031,2025-01-08,167753
T-00031,2025-01-22,152184
T-00031,2025-02-05,157535
T-00031,2025-02-19,146063
T-00031,2025-03-05,132297
T-00031,2025-03-19,132343
T-00031,2025-04-02,159507
T-00031,2025-04-16,152978
T-00031,2025-04-30,145894
T-00031,2025-05-14,155136
T-00031,2025-05-28,146981
T-00031,2025-06-11,140058
T-00031,2025-06-25,157496
T-00031,2025-07-09,172183
T-00031,2025-07-23,162882
T-00031,2025-08-06,156677
T-00031,2025-08-20,127617
T-00031,2025-09-03,159712
T-00031,2025-09-17,143583
T-00031,2025-10-01,147041
T-00031,2025-10-15,171649
T-00031,2025-10-29,179089
T-00031,2025-11-12,161292
T-00031,2025-11-26,169673
T-00031,2025-12-10,131065
T-00031,2025-12-24,140050
T-00032,2025-01-08,308817
T-00032,2025-01-22,340206
T-00032,2025-02-05,359647
T-00032,2025-02-19,308996
T-00032,2025-03-05,290166
T-00032,2025-03-19,366587
T-00032,2025-04-02,296901
T-00032,2025-04-16,324441
T-00032,2025-04-30,328983
T-00032,2025-05-14,315143
T-00032,2025-05-28,315802
T-00032,2025-06-11,312140
T-00032,2025-06-25,303922
T-00032,2025-07-09,366053
T-00032,2025-07-23,306274
T-00032,2025-08-06,305064
T-00032,2025-08-20,327265
T-00032,2025-09-03,329729
T-00032,2025-09-17,280039
T-00032,2025-10-01,320111
T-00032,2025-10-15,386019
T-00032,2025-10-29,331406
T-00032,2025-11-12,298473
T-00032,2025-11-26,296006
T-00032,2025-12-10,300700
T-00032,2025-12-24,339204
T-00033,2025-01-08,386853
T-00033,2025-01-22,311236
T-00033,2025-02-05,383145
T-00033,2025-02-19,336314
T-00033,2025-03-05,405124
T-00033,2025-03-19,328529
T-00033,2025-04-02,323539
T-00033,2025-04-16,307851
T-00033,2025-04-30,309404
T-00033,2025-05-14,332482
T-00033,2025-05-28,356478
T-00033,2025-06-11,360831
T-00033,2025-06-25,299453
T-00033,2025-07-09,364436
T-00033,2025-07-23,354236
T-00033,2025-08-06,318641
T-00033,2025-08-20,341072
T-00033,2025-09-03,323270
T-00033,2025-09-17,315553
T-00033,2025-10-01,339417
T-00033,2025-10-15,341415
T-00033,2025-10-29,307951
T-00033,2025-11-12,350758
T-00033,2025-11-26,333441
T-00033,2025-12-10,300319
T-00033,2025-12-24,350938
T-00034,2025-01-08,471966
T-00034,2025-01-22,468184
T-00034,2025-02-05,502158
T-00034,2025-02-19,464572
T-00034,2025-03-05,447609
T-00034,2025-03-19,415368
T-00034,2025-04-02,442314
T-00034,2025-04-16,434978
T-00034,2025-04-30,458372
T-00034,2025-05-14,478386
T-00034,2025-05-28,376652
T-00034,2025-06-11,414280
T-00034,2025-06-25,486026
T-00034,2025-07-09,358866
T-00034,2025-07-23,393182
T-00034,2025-08-06,461248
T-00034,2025-08-20,313284
T-00034,2025-09-03,529606
T-00034,2025-09-17,458209
T-00034,2025-10-01,485023
T-00034,2025-10-15,471485
T-00034,2025-10-29,572653
T-00034,2025-11-12,425957
T-00034,2025-11-26,369403
T-00034,2025-12-10,425278
T-00034,2025-12-24,411889
T-00035,2025-01-08,133076
T-00035,2025-01-22,144190
T-00035,2025-02-05,124433
T-00035,2025-02-19,115272
T-00035,2025-03-05,144846
T-00035,2025-03-19,135778
T-00035,2025-04-02,138400
T-00035,2025-04-16,136734
T-00035,2025-04-30,100714
T-00035,2025-05-14,145537
T-00035,2025-05-28,149665
T-00035,2025-06-11,124972
T-00035,2025-06-25,141402
T-00035,2025-07-09,131342
T-00035,2025-07-23,141208
T-00035,2025-08-06,102614
T-00035,2025-08-20,126431
T-00035,2025-09-03,127162
T-00035,2025-09-17,137552
T-00035,2025-10-01,118030
T-00035,2025-10-15,132190
T-00035,2025-10-29,112503
T-00035,2025-11-12,138213
T-00035,2025-11-26,121616
T-00035,2025-12-10,155080
T-00035,2025-12-24,141703
T-00036,2025-01-08,434025
T-00036,2025-01-22,460878
T-00036,2025-02-05,412999
T-00036,2025-02-19,435443
T-00036,2025-03-05,413359
T-00036,2025-03-19,341388
T-00036,2025-04-02,569739
T-00036,2025-04-16,458115
T-00036,2025-04-30,446933
T-00036,2025-05-14,484112
T-00036,2025-05-28,510147
T-00036,2025-06-11,491836
T-00036,2025-06-25,479126
T-00036,2025-07-09,489884
T-00036,2025-07-23,486164
T-00036,2025-08-06,432671
T-00036,2025-08-20,530100
T-00036,2025-09-03,402124
T-00036,2025-09-17,466562
T-00036,2025-10-01,466956
