terminal_id,tarih,ikmal_tutar,kaset_1,kaset_2,kaset_3
T-00003,2025-05-14,409232,204616,122769,81846
T-00003,2025-05-21,501707,250853,150512,100341
T-00003,2025-05-28,419861,209930,125958,83972
T-00003,2025-06-04,430605,215302,129181,86121
T-00003,2025-06-11,334688,167344,100406,66937
T-00003,2025-06-18,460125,230062,138037,92025
T-00003,2025-06-25,343743,171871,103123,68748
T-00003,2025-07-02,416271,208135,124881,83254
T-00003,2025-07-09,440337,220168,132101,88067
T-00003,2025-07-16,377571,188785,113271,75514
T-00003,2025-07-23,347680,173840,104304,69536
T-00003,2025-07-30,344030,172015,103209,68806
T-00003,2025-08-06,387466,193733,116239,77493
T-00003,2025-08-13,408269,204134,122480,81653
T-00003,2025-08-20,440638,220319,132191,88127
T-00003,2025-08-27,477467,238733,143240,95493
T-00003,2025-09-03,376438,188219,112931,75287
T-00003,2025-09-10,428789,214394,128636,85757
T-00003,2025-09-17,341599,170799,102479,68319
T-00003,2025-09-24,420369,210184,126110,84073
T-00003,2025-10-01,378860,189430,113658,75772
T-00003,2025-10-08,419826,209913,125947,83965
T-00003,2025-10-15,387717,193858,116315,77543
T-00003,2025-10-22,302926,151463,90878,60585
T-00003,2025-10-29,365744,182872,109723,73148
T-00003,2025-11-05,404588,202294,121376,80917
T-00003,2025-11-12,318750,159375,95625,63750
T-00003,2025-11-19,414656,207328,124396,82931
T-00003,2025-11-26,340029,170014,102008,68005
T-00003,2025-12-03,395422,197711,118626,79084
T-00003,2025-12-10,324793,162396,97438,64958
T-00003,2025-12-17,424974,212487,127492,84994
T-00003,2025-12-24,455683,227841,136705,91136
T-00003,2025-12-31,310993,155496,93297,62198
T-00004,2025-01-01,240611,120305,72183,48122
T-00004,2025-01-16,301579,150789,90473,60315
T-00004,2025-01-31,441814,220907,132544,88362
T-00004,2025-02-15,327693,163846,98308,65538
T-00004,2025-03-02,307358,153679,92207,61471
T-00004,2025-03-17,311876,155938,93563,62375
T-00004,2025-04-01,270053,135026,81016,54010
T-00004,2025-04-16,283438,141719,85031,56687
T-00004,2025-05-01,308822,154411,92646,61764
T-00004,2025-05-16,260178,130089,78053,52035
T-00004,2025-05-31,282699,141349,84809,56539
T-00004,2025-06-15,249957,124978,74987,49991
T-00004,2025-06-30,249324,124662,74797,49864
T-00004,2025-07-15,281914,140957,84574,56382
T-00004,2025-07-30,370045,185022,111013,74009
T-00004,2025-08-14,194944,97472,58483,38988
T-00004,2025-08-29,252204,126102,75661,50440
T-00004,2025-09-13,246714,123357,74014,49342
T-00004,2025-09-28,301209,150604,90362,60241
T-00004,2025-10-13,229587,114793,68876,45917
T-00004,2025-10-28,260052,130026,78015,52010
T-00004,2025-11-12,354149,177074,106244,70829
T-00004,2025-11-27,318550,159275,95565,63710
T-00004,2025-12-12,323363,161681,97009,64672
T-00004,2025-12-27,259662,129831,77898,51932
T-00005,2025-01-01,562887,281443,168866,112577
T-00005,2025-01-09,504488,252244,151346,100897
T-00005,2025-01-17,527960,263980,158388,105592
T-00005,2025-01-25,468776,234388,140633,93755
T-00005,2025-02-02,243032,121516,72909,48606
T-00005,2025-02-10,455080,227540,136524,91016
T-00005,2025-02-18,384469,192234,115340,76893
T-00005,2025-02-26,371531,185765,111459,74306
T-00005,2025-03-06,482276,241138,144682,96455
T-00005,2025-03-14,575258,287629,172577,115051
T-00005,2025-03-22,555526,277763,166657,111105
T-00005,2025-03-30,473726,236863,142117,94745
T-00005,2025-04-07,505786,252893,151735,101157
T-00005,2025-04-15,487123,243561,146136,97424
T-00005,2025-04-23,477952,238976,143385,95590
T-00005,2025-05-01,481054,240527,144316,96210
T-00005,2025-05-09,519978,259989,155993,103995
T-00005,2025-05-17,385176,192588,115553,77035
T-00005,2025-05-25,624338,312169,187301,124867
T-00005,2025-06-02,462230,231115,138669,92446
T-00005,2025-06-10,514741,257370,154422,102948
T-00005,2025-06-18,428819,214409,128645,85763
T-00005,2025-06-26,438021,219010,131406,87604
T-00005,2025-07-04,431184,215592,129355,86236
T-00005,2025-07-12,498330,249165,149499,99666
T-00005,2025-07-20,423838,211919,127151,84767
T-00005,2025-07-28,494802,247401,148440,98960
T-00005,2025-08-05,530672,265336,159201,106134
T-00005,2025-08-13,414182,207091,124254,82836
T-00005,2025-08-21,526020,263010,157806,105204
T-00005,2025-08-29,516305,258152,154891,103261
T-00005,2025-09-06,481324,240662,144397,96264
T-00005,2025-09-14,563650,281825,169095,112730
T-00005,2025-09-22,511816,255908,153544,102363
T-00005,2025-09-30,458654,229327,137596,91730
T-00005,2025-10-08,550958,275479,165287,110191
T-00005,2025-10-16,530718,265359,159215,106143
T-00005,2025-10-24,565623,282811,169687,113124
T-00005,2025-11-01,521384,260692,156415,104276
T-00005,2025-11-09,450986,225493,135295,90197
T-00005,2025-11-17,463766,231883,139129,92753
T-00005,2025-11-25,479881,239940,143964,95976
T-00005,2025-12-03,414947,207473,124484,82989
T-00005,2025-12-11,401623,200811,120486,80324
T-00005,2025-12-19,386853,193426,116055,77370
T-00005,2025-12-27,529168,264584,158750,105833
T-00006,2025-01-01,743660,371830,223098,148732
T-00006,2025-01-09,678750,339375,203625,135750
T-00006,2025-01-17,588480,294240,176544,117696
T-00006,2025-01-25,610929,305464,183278,122185
T-00006,2025-02-02,779462,389731,233838,155892
T-00006,2025-02-10,595799,297899,178739,119159
T-00006,2025-02-18,647218,323609,194165,129443
T-00006,2025-02-26,622500,311250,186750,124500
T-00006,2025-03-06,704856,352428,211456,140971
T-00006,2025-03-14,704986,352493,211495,140997
T-00006,2025-03-22,631954,315977,189586,126390
T-00006,2025-03-30,703669,351834,211100,140733
T-00006,2025-04-07,536438,268219,160931,107287
T-00006,2025-04-15,606718,303359,182015,121343
T-00006,2025-04-23,711712,355856,213513,142342
T-00006,2025-05-01,767481,383740,230244,153496
T-00006,2025-05-09,663686,331843,199105,132737
T-00006,2025-05-17,577742,288871,173322,115548
T-00006,2025-05-25,678111,339055,203433,135622
T-00006,2025-06-02,712917,356458,213875,142583
T-00006,2025-06-10,595622,297811,178686,119124
T-00006,2025-06-18,836339,418169,250901,167267
T-00006,2025-06-26,720974,360487,216292,144194
T-00006,2025-07-04,750394,375197,225118,150078
T-00006,2025-07-12,702857,351428,210857,140571
T-00006,2025-07-20,681284,340642,204385,136256
T-00006,2025-07-28,601153,300576,180345,120230
T-00006,2025-08-05,682500,341250,204750,136500
T-00006,2025-08-13,828016,414008,248404,165603
T-00006,2025-08-21,899624,449812,269887,179924
T-00006,2025-08-29,601730,300865,180519,120346
T-00006,2025-09-06,698700,349350,209610,139740
T-00006,2025-09-14,903359,451679,271007,180671
T-00006,2025-09-22,594348,297174,178304,118869
T-00006,2025-09-30,618861,309430,185658,123772
T-00006,2025-10-08,626372,313186,187911,125274
T-00006,2025-10-16,695340,347670,208602,139068
T-00006,2025-10-24,714859,357429,214457,142971
T-00006,2025-11-01,776943,388471,233082,155388
T-00006,2025-11-09,621155,310577,186346,124231
T-00006,2025-11-17,730175,365087,219052,146035
T-00006,2025-11-25,545336,272668,163600,109067
T-00006,2025-12-03,800302,400151,240090,160060
T-00006,2025-12-11,505260,252630,151578,101052
T-00006,2025-12-19,818094,409047,245428,163618
T-00006,2025-12-27,806257,403128,241877,161251
T-00007,2025-01-01,224446,112223,67333,44889
T-00007,2025-01-21,295232,147616,88569,59046
T-00007,2025-02-10,322561,161280,96768,64512
T-00007,2025-03-02,288699,144349,86609,57739
T-00007,2025-03-22,326488,163244,97946,65297
T-00007,2025-04-11,227115,113557,68134,45423
T-00007,2025-05-01,261879,130939,78563,52375
T-00007,2025-05-21,300118,150059,90035,60023
T-00007,2025-06-10,297987,148993,89396,59597
T-00007,2025-06-30,283983,141991,85195,56796
T-00007,2025-07-20,323557,161778,97067,64711
T-00007,2025-08-09,325357,162678,97607,65071
T-00007,2025-08-29,217175,108587,65152,43435
T-00007,2025-09-18,283078,141539,84923,56615
T-00007,2025-10-08,361479,180739,108443,72295
T-00007,2025-10-28,367066,183533,110119,73413
T-00007,2025-11-17,292542,146271,87762,58508
T-00007,2025-12-07,293553,146776,88065,58710
T-00007,2025-12-27,237277,118638,71183,47455
T-00008,2025-01-01,414869,207434,124460,82973
T-00008,2025-01-13,323849,161924,97154,64769
T-00008,2025-01-25,317101,158550,95130,63420
T-00008,2025-02-06,431013,215506,129303,86202
T-00008,2025-02-18,321257,160628,96377,64251
T-00008,2025-03-02,347013,173506,104104,69402
T-00008,2025-03-14,370947,185473,111284,74189
T-00008,2025-03-26,345691,172845,103707,69138
T-00008,2025-04-07,488105,244052,146431,97621
T-00008,2025-04-19,337430,168715,101229,67486
T-00008,2025-05-01,370647,185323,111194,74129
T-00008,2025-05-13,364504,182252,109351,72900
T-00008,2025-05-25,419837,209918,125951,83967
T-00008,2025-06-06,344437,172218,103331,68887
T-00008,2025-06-18,246826,123413,74047,49365
T-00008,2025-06-30,454296,227148,136289,90859
T-00008,2025-07-12,362917,181458,108875,72583
T-00008,2025-07-24,394601,197300,118380,78920
T-00008,2025-08-05,551110,275555,165333,110222
T-00008,2025-08-17,369766,184883,110929,73953
T-00008,2025-08-29,286155,143077,85846,57231
T-00008,2025-09-10,334228,167114,100268,66845
T-00008,2025-09-22,340436,170218,102130,68087
T-00008,2025-10-04,472407,236203,141722,94481
T-00008,2025-10-16,376549,188274,112964,75309
T-00008,2025-10-28,460690,230345,138207,92138
T-00008,2025-11-09,328294,164147,98488,65658
T-00008,2025-11-21,407475,203737,122242,81495
T-00008,2025-12-03,366236,183118,109870,73247
T-00008,2025-12-15,298802,149401,89640,59760
T-00008,2025-12-27,484977,242488,145493,96995
T-00009,2025-01-01,565003,282501,169501,113000
T-00009,2025-01-14,645218,322609,193565,129043
T-00009,2025-01-27,651465,325732,195439,130293
T-00009,2025-02-09,720203,360101,216061,144040
T-00009,2025-02-22,744006,372003,223201,148801
T-00009,2025-03-07,689372,344686,206811,137874
T-00009,2025-03-20,653141,326570,195942,130628
T-00009,2025-04-02,796015,398007,238804,159203
T-00009,2025-04-15,610157,305078,183047,122031
T-00009,2025-04-28,795586,397793,238675,159117
T-00009,2025-05-11,773275,386637,231982,154655
T-00009,2025-05-24,776196,388098,232859,155239
T-00009,2025-06-06,521426,260713,156427,104285
T-00009,2025-06-19,720157,360078,216047,144031
T-00009,2025-07-02,618012,309006,185403,123602
T-00009,2025-07-15,536801,268400,161040,107360
T-00009,2025-07-28,585118,292559,175535,117023
T-00009,2025-08-10,720083,360041,216025,144016
T-00009,2025-08-23,673756,336878,202126,134751
T-00009,2025-09-05,653128,326564,195938,130625
T-00009,2025-09-18,593838,296919,178151,118767
T-00009,2025-10-01,771821,385910,231546,154364
T-00009,2025-10-14,449916,224958,134974,89983
T-00009,2025-10-27,776890,388445,233067,155378
T-00009,2025-11-09,754805,377402,226441,150961
T-00009,2025-11-22,724286,362143,217286,144857
T-00009,2025-12-05,840244,420122,252073,168048
T-00009,2025-12-18,751207,375603,225362,150241
T-00009,2025-12-31,662704,331352,198811,132540
T-00010,2025-01-01,493741,246870,148122,98748
T-00010,2025-01-18,494658,247329,148397,98931
T-00010,2025-02-04,692371,346185,207711,138474
T-00010,2025-02-21,623136,311568,186940,124627
T-00010,2025-03-10,366580,183290,109974,73316
T-00010,2025-03-27,379833,189916,113949,75966
T-00010,2025-04-13,529458,264729,158837,105891
T-00010,2025-04-30,553892,276946,166167,110778
T-00010,2025-05-17,352878,176439,105863,70575
T-00010,2025-06-03,589052,294526,176715,117810
T-00010,2025-06-20,618585,309292,185575,123717
T-00010,2025-07-07,495109,247554,148532,99021
T-00010,2025-07-24,542403,271201,162721,108480
T-00010,2025-08-10,491618,245809,147485,98323
T-00010,2025-08-27,593762,296881,178128,118752
T-00010,2025-09-13,533668,266834,160100,106733
T-00010,2025-09-30,565935,282967,169780,113187
T-00010,2025-10-17,487606,243803,146282,97521
T-00010,2025-11-03,450481,225240,135144,90096
T-00010,2025-11-20,557882,278941,167364,111576
T-00010,2025-12-07,454964,227482,136489,90992
T-00010,2025-12-24,635366,317683,190609,127073
T-00011,2025-01-01,478006,239003,143402,95601
T-00011,2025-01-17,303361,151680,91008,60672
T-00011,2025-02-02,456703,228351,137011,91340
T-00011,2025-02-18,369890,184945,110967,73978
T-00011,2025-03-06,509839,254919,152951,101967
T-00011,2025-03-22,379120,189560,113736,75824
T-00011,2025-04-07,399912,199956,119973,79982
T-00011,2025-04-23,328772,164386,98631,65754
T-00011,2025-05-09,478299,239149,143489,95659
T-00011,2025-05-25,462138,231069,138641,92427
T-00011,2025-06-10,317631,158815,95289,63526
T-00011,2025-06-26,434220,217110,130266,86844
T-00011,2025-07-12,458578,229289,137573,91715
T-00011,2025-07-28,349116,174558,104734,69823
T-00011,2025-08-13,280410,140205,84123,56082
T-00011,2025-08-29,377102,188551,113130,75420
T-00011,2025-09-14,300540,150270,90162,60108
T-00011,2025-09-30,466381,233190,139914,93276
T-00011,2025-10-16,359250,179625,107775,71850
T-00011,2025-11-01,222109,111054,66632,44421
T-00011,2025-11-17,360079,180039,108023,72015
T-00011,2025-12-03,476449,238224,142934,95289
T-00011,2025-12-19,357955,178977,107386,71591
T-00012,2025-01-01,1063065,531532,318919,212613
T-00012,2025-01-21,768602,384301,230580,153720
T-00012,2025-02-10,750391,375195,225117,150078
T-00012,2025-03-02,704083,352041,211225,140816
T-00012,2025-03-22,684987,342493,205496,136997
T-00012,2025-04-11,737664,368832,221299,147532
T-00012,2025-05-01,892577,446288,267773,178515
T-00012,2025-05-21,528456,264228,158536,105691
T-00012,2025-06-10,724265,362132,217279,144853
T-00012,2025-06-30,639228,319614,191768,127845
T-00012,2025-07-20,874649,437324,262394,174929
T-00012,2025-08-09,637102,318551,191130,127420
T-00012,2025-08-29,823302,411651,246990,164660
T-00012,2025-09-18,739350,369675,221805,147870
T-00012,2025-10-08,848795,424397,254638,169759
T-00012,2025-10-28,725470,362735,217641,145094
T-00012,2025-11-17,837863,418931,251359,167572
T-00012,2025-12-07,731386,365693,219416,146277
T-00012,2025-12-27,873309,436654,261992,174661
T-00013,2025-01-01,307235,153617,92170,61447
T-00013,2025-01-09,365723,182861,109716,73144
T-00013,2025-01-17,282614,141307,84784,56522
T-00013,2025-01-25,242215,121107,72664,48443
T-00013,2025-02-02,344724,172362,103417,68944
T-00013,2025-02-10,399177,199588,119753,79835
T-00013,2025-02-18,217316,108658,65194,43463
T-00013,2025-02-26,326002,163001,97800,65200
T-00013,2025-03-06,290170,145085,87051,58034
T-00013,2025-03-14,334919,167459,100475,66983
T-00013,2025-03-22,368296,184148,110488,73659
T-00013,2025-03-30,321414,160707,96424,64282
T-00013,2025-04-07,298764,149382,89629,59752
T-00013,2025-04-15,313300,156650,93990,62660
T-00013,2025-04-23,234938,117469,70481,46987
T-00013,2025-05-01,351230,175615,105369,70246
T-00013,2025-05-09,324099,162049,97229,64819
T-00013,2025-05-17,316873,158436,95062,63374
T-00013,2025-05-25,332475,166237,99742,66495
T-00013,2025-06-02,279108,139554,83732,55821
T-00013,2025-06-10,325283,162641,97584,65056
T-00013,2025-06-18,335351,167675,100605,67070
T-00013,2025-06-26,364781,182390,109434,72956
T-00013,2025-07-04,338401,169200,101520,67680
T-00013,2025-07-12,362579,181289,108773,72515
T-00013,2025-07-20,394943,197471,118483,78988
T-00013,2025-07-28,228742,114371,68622,45748
T-00013,2025-08-05,255348,127674,76604,51069
T-00013,2025-08-13,317236,158618,95171,63447
T-00013,2025-08-21,281599,140799,84479,56319
T-00013,2025-08-29,324852,162426,97455,64970
T-00013,2025-09-06,287014,143507,86104,57402
T-00013,2025-09-14,249324,124662,74797,49864
T-00013,2025-09-22,251930,125965,75579,50386
T-00013,2025-09-30,269743,134871,80923,53948
T-00013,2025-10-08,270998,135499,81299,54199
T-00013,2025-10-16,339383,169691,101814,67876
T-00013,2025-10-24,324761,162380,97428,64952
T-00013,2025-11-01,349194,174597,104758,69838
T-00013,2025-11-09,288714,144357,86614,57742
T-00013,2025-11-17,437348,218674,131204,87469
T-00013,2025-11-25,311446,155723,93434,62289
T-00013,2025-12-03,282669,141334,84800,56533
T-00013,2025-12-11,399935,199967,119980,79987
T-00013,2025-12-19,286281,143140,85884,57256
T-00013,2025-12-27,349547,174773,104864,69909
T-00014,2025-01-01,351601,175800,105480,70320
T-00014,2025-01-17,440019,220009,132005,88003
T-00014,2025-02-02,293555,146777,88066,58711
T-00014,2025-02-18,369742,184871,110922,73948
T-00014,2025-03-06,394235,197117,118270,78847
T-00014,2025-03-22,405899,202949,121769,81179
T-00014,2025-04-07,416243,208121,124873,83248
T-00014,2025-04-23,432033,216016,129610,86406
T-00014,2025-05-09,379958,189979,113987,75991
T-00014,2025-05-25,408746,204373,122623,81749
T-00014,2025-06-10,399642,199821,119892,79928
T-00014,2025-06-26,444661,222330,133398,88932
T-00014,2025-07-12,423254,211627,126976,84650
T-00014,2025-07-28,385713,192856,115714,77142
T-00014,2025-08-13,354275,177137,106282,70855
T-00014,2025-08-29,357372,178686,107211,71474
T-00014,2025-09-14,366191,183095,109857,73238
T-00014,2025-09-30,356424,178212,106927,71284
T-00014,2025-10-16,373236,186618,111970,74647
T-00014,2025-11-01,467345,233672,140203,93469
T-00014,2025-11-17,443434,221717,133030,88686
T-00014,2025-12-03,399382,199691,119814,79876
T-00014,2025-12-19,388739,194369,116621,77747
T-00015,2025-01-01,472272,236136,141681,94454
T-00015,2025-01-15,688555,344277,206566,137711
T-00015,2025-01-29,477785,238892,143335,95557
T-00015,2025-02-12,633311,316655,189993,126662
T-00015,2025-02-26,479729,239864,143918,95945
T-00015,2025-03-12,408746,204373,122623,81749
T-00015,2025-03-26,434881,217440,130464,86976
T-00015,2025-04-09,509336,254668,152800,101867
T-00015,2025-04-23,631078,315539,189323,126215
T-00015,2025-05-07,587595,293797,176278,117519
T-00015,2025-05-21,508201,254100,152460,101640
T-00015,2025-06-04,425774,212887,127732,85154
T-00015,2025-06-18,524783,262391,157435,104956
T-00015,2025-07-02,534208,267104,160262,106841
T-00015,2025-07-16,463021,231510,138906,92604
T-00015,2025-07-30,464142,232071,139242,92828
T-00015,2025-08-13,463048,231524,138914,92609
T-00015,2025-08-27,621094,310547,186328,124218
T-00015,2025-09-10,448075,224037,134422,89615
T-00015,2025-09-24,469589,234794,140876,93917
T-00015,2025-10-08,527584,263792,158275,105516
T-00015,2025-10-22,630848,315424,189254,126169
T-00015,2025-11-05,464937,232468,139481,92987
T-00015,2025-11-19,533954,266977,160186,106790
T-00015,2025-12-03,562576,281288,168772,112515
T-00015,2025-12-17,498410,249205,149523,99682
T-00015,2025-12-31,406068,203034,121820,81213
T-00016,2025-01-01,280463,140231,84139,56092
T-00016,2025-01-14,399792,199896,119937,79958
T-00016,2025-01-27,325573,162786,97672,65114
T-00016,2025-02-09,371151,185575,111345,74230
T-00016,2025-02-22,289916,144958,86974,57983
T-00016,2025-03-07,364336,182168,109300,72867
T-00016,2025-03-20,402256,201128,120677,80451
T-00016,2025-04-02,342590,171295,102777,68518
T-00016,2025-04-15,342908,171454,102872,68581
T-00016,2025-04-28,353767,176883,106130,70753
T-00016,2025-05-11,365400,182700,109620,73080
T-00016,2025-05-24,380307,190153,114092,76061
T-00016,2025-06-06,307103,153551,92131,61420
T-00016,2025-06-19,372007,186003,111602,74401
T-00016,2025-07-02,332419,166209,99725,66483
T-00016,2025-07-15,316358,158179,94907,63271
T-00016,2025-07-28,324029,162014,97208,64805
T-00016,2025-08-10,250746,125373,75224,50149
T-00016,2025-08-23,345499,172749,103649,69099
T-00016,2025-09-05,300457,150228,90137,60091
T-00016,2025-09-18,326783,163391,98035,65356
T-00016,2025-10-01,389534,194767,116860,77906
T-00016,2025-10-14,328183,164091,98455,65636
T-00016,2025-10-27,323817,161908,97145,64763
T-00016,2025-11-09,324170,162085,97251,64834
T-00016,2025-11-22,266497,133248,79949,53299
T-00016,2025-12-05,281919,140959,84575,56383
T-00016,2025-12-18,243029,121514,72908,48605
T-00016,2025-12-31,332823,166411,99846,66564
T-00017,2025-01-01,582839,291419,174851,116567
T-00017,2025-01-11,432691,216345,129807,86538
T-00017,2025-01-21,605185,302592,181555,121037
T-00017,2025-01-31,316324,158162,94897,63264
T-00017,2025-02-10,436454,218227,130936,87290
T-00017,2025-02-20,522151,261075,156645,104430
T-00017,2025-03-02,489261,244630,146778,97852
T-00017,2025-03-12,381354,190677,114406,76270
T-00017,2025-03-22,518034,259017,155410,103606
T-00017,2025-04-01,464978,232489,139493,92995
T-00017,2025-04-11,396237,198118,118871,79247
T-00017,2025-04-21,423012,211506,126903,84602
T-00017,2025-05-01,489228,244614,146768,97845
T-00017,2025-05-11,454920,227460,136476,90984
T-00017,2025-05-21,383391,191695,115017,76678
T-00017,2025-05-31,466183,233091,139855,93236
T-00017,2025-06-10,551104,275552,165331,110220
T-00017,2025-06-20,504338,252169,151301,100867
T-00017,2025-06-30,503697,251848,151109,100739
T-00017,2025-07-10,566103,283051,169831,113220
T-00017,2025-07-20,485913,242956,145774,97182
T-00017,2025-07-30,465646,232823,139694,93129
T-00017,2025-08-09,424111,212055,127233,84822
T-00017,2025-08-19,599506,299753,179851,119901
T-00017,2025-08-29,370701,185350,111210,74140
T-00017,2025-09-08,423781,211890,127134,84756
T-00017,2025-09-18,425794,212897,127738,85158
T-00017,2025-09-28,440410,220205,132123,88082
T-00017,2025-10-08,439976,219988,131993,87995
T-00017,2025-10-18,359859,179929,107957,71971
T-00017,2025-10-28,525837,262918,157751,105167
T-00017,2025-11-07,502122,251061,150636,100424
T-00017,2025-11-17,468622,234311,140586,93724
T-00017,2025-11-27,389987,194993,116996,77997
T-00017,2025-12-07,578440,289220,173532,115688
T-00017,2025-12-17,456355,228177,136906,91271
T-00017,2025-12-27,486753,243376,146026,97350
T-00018,2025-01-01,312876,156438,93862,62575
T-00018,2025-01-13,404863,202431,121459,80972
T-00018,2025-01-25,431983,215991,129595,86396
T-00018,2025-02-06,494353,247176,148305,98870
T-00018,2025-02-18,412359,206179,123707,82471
T-00018,2025-03-02,545666,272833,163699,109133
T-00018,2025-03-14,455033,227516,136510,91006
T-00018,2025-03-26,498234,249117,149470,99646
T-00018,2025-04-07,511559,255779,153467,102311
T-00018,2025-04-19,522002,261001,156600,104400
T-00018,2025-05-01,540121,270060,162036,108024
T-00018,2025-05-13,464367,232183,139310,92873
T-00018,2025-05-25,404376,202188,121312,80875
T-00018,2025-06-06,464388,232194,139316,92877
T-00018,2025-06-18,418265,209132,125479,83653
T-00018,2025-06-30,479694,239847,143908,95938
T-00018,2025-07-12,412189,206094,123656,82437
T-00018,2025-07-24,595924,297962,178777,119184
T-00018,2025-08-05,567868,283934,170360,113573
T-00018,2025-08-17,453570,226785,136071,90714
T-00018,2025-08-29,492504,246252,147751,98500
T-00018,2025-09-10,433588,216794,130076,86717
T-00018,2025-09-22,478007,239003,143402,95601
T-00018,2025-10-04,418312,209156,125493,83662
T-00018,2025-10-16,368076,184038,110423,73615
T-00018,2025-10-28,351935,175967,105580,70387
T-00018,2025-11-09,521836,260918,156550,104367
T-00018,2025-11-21,419956,209978,125986,83991
T-00018,2025-12-03,448394,224197,134518,89678
T-00018,2025-12-15,510779,255389,153233,102155
T-00018,2025-12-27,344357,172178,103307,68871
